Id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma;SentId
187;five;fünf;aktiv;1/B5;I;a;;;[('five', 'CD')];['five'];None
188;six;sechs;aktiv;1/B5;I;a;;;[('six', 'CD')];['six'];None
189;eight;acht;aktiv;1/B5;I;a;;;[('eight', 'CD')];['eight'];None
190;nine;neun;aktiv;1/B5;I;a;;;[('nine', 'CD')];['nine'];None
191;ten;zehn;aktiv;1/B5;I;a;;;[('ten', 'NNS')];['ten'];None
192;eleven;elf;aktiv;1/B5;I;a;;;[('eleven', 'RB')];['eleven'];['96', '121', '181']
193;twelve;zwölf;aktiv;1/B5;I;a;;;[('twelve', 'NN')];['twelve'];None
194;to say;sagen;aktiv;1/B6;I;irr;;;[('to', 'TO'), ('say', 'VB')];['to', 'say'];None
195;about;über, von;aktiv;1/B6;I;pr;a book *about* London.;;[('about', 'IN')];['about'];['113', '174']
196;Are you OK?;Alles in Ordnung?;passiv;1/B6;I;ph;;;[('Are', 'NNP'), ('you', 'PRP'), ('OK', 'IN'), ('?', '.')];['Are', 'you', 'OK', '?'];['139']
197;I'm (= I am);ich bin;passiv;1/B6;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('(', '('), ('=', 'NN'), ('I', 'PRP'), ('am', 'VBP'), (')', ')')]";"['I', ""'m"", '(', '=', 'I', 'am', ')']";['148', '167']
198;new;neu;aktiv;1/B6;I;a;*new* <> old;;[('new', 'JJ')];['new'];['147', '157', '189']
199;here;hier;aktiv;1/B6;I;av;;;[('here', 'RB')];['here'];['185']
200;went;ging;passiv;1/B6;I;irr;;;[('went', 'VBD')];['went'];None
201;to;in, nach, zu, an;passiv;1/B6;I;pr;;;[('to', 'TO')];['to'];['90', '151', '155']
202;Mr (= Mister);Herr (Anrede);aktiv;1/B6;I;;*Mr* Scott;ID1389841;[('Mr', 'NNP'), ('(', '('), ('=', 'NNP'), ('Mister', 'NNP'), (')', ')')];['Mr', '(', '=', 'Mister', ')'];['145']
203;Mrs;Frau (Anrede);aktiv;1/B6;I;;*Mrs* Scott;ID1389841;[('Mrs', 'NN')];['Mrs'];None
204;class;(Schul)klasse;aktiv;1/B6;I;s;;;[('class', 'NN')];['class'];None
205;too;zu;aktiv;1/B6;I;av;;;[('too', 'RB')];['too'];['146', '156']
206;loud;laut;aktiv;1/B6;I;a;;;[('loud', 'NN')];['loud'];['146']
207;too loud;zu laut;aktiv;1/B6;I;av;;;[('too', 'RB'), ('loud', 'JJ')];['too', 'loud'];['146']
208;classmate;Klassenkamerad/in, Mitschüler/in;aktiv;1/B6;I;s;Rajiv and George are *classmates*.;;[('classmate', 'NN')];['classmate'];None
209;they're (= they are);sie sind;passiv;1/B6;I;ph;;;"[('they', 'PRP'), (""'re"", 'VBP'), ('(', '('), ('=', 'IN'), ('they', 'PRP'), ('are', 'VBP'), (')', ')')]";"['they', ""'re"", '(', '=', 'they', 'are', ')']";['163']
210;very;sehr, außerordentlich;aktiv;1/B6;I;av;;;[('very', 'RB')];['very'];['150', '152']
211;nice;schön, angenehm, nett, freundlich;aktiv;1/B6;I;a;;;[('nice', 'JJ')];['nice'];['150']
212;to sit;sitzen;aktiv;1/B6;I;irr;;;[('to', 'TO'), ('sit', 'VB')];['to', 'sit'];['151']
213;he;er;passiv;1/B6;I;p;;;[('he', 'PRP')];['he'];['160', '162']
214;good;gut;aktiv;1/B6;I;a;;;[('good', 'JJ')];['good'];['152', '154', '166']
215;to be good at;gut in … sein;aktiv;1/B6;I;ph;Rajiv *is good at* maths.;;[('to', 'TO'), ('be', 'VB'), ('good', 'JJ'), ('at', 'IN')];['to', 'be', 'good', 'at'];None
216;maths (informal, pl);Mathe(unterricht);aktiv;1/B6;I;s;;;[('maths', 'NNS'), ('(', '('), ('informal', 'JJ'), (',', ','), ('pl', 'NN'), (')', ')')];['math', '(', 'informal', ',', 'pl', ')'];None
217;to let;lassen;aktiv;1/B6;I;irr;;;[('to', 'TO'), ('let', 'VB')];['to', 'let'];None
218;us;uns;aktiv;1/B6;I;p;;;[('us', 'PRP')];['u'];None
219;let's (= let us);Lass(t) uns;aktiv;1/B6;I;ph;*Let's* play football.;;"[('let', 'NN'), (""'s"", 'POS'), ('(', '('), ('=', 'JJ'), ('let', 'VB'), ('us', 'PRP'), (')', ')')]";"['let', ""'s"", '(', '=', 'let', 'u', ')']";None
220;to start;anfangen;aktiv;1/B6;I;v;;;[('to', 'TO'), ('start', 'VB')];['to', 'start'];None
221;desk;Schreibtisch;aktiv;1/B7;I;s;;;[('desk', 'NN')];['desk'];None
222;uniform;Uniform;aktiv;1/B7;I;s;a girl in school *uniform*;ID1389851;[('uniform', 'NN')];['uniform'];None
223;to be;sein;aktiv;1/B8;I;irr;I *am*, you / we / they *are*, he / she / it / *is*;;[('to', 'TO'), ('be', 'VB')];['to', 'be'];['155', '188']
224;she's (= she is);sie ist;passiv;1/B8;I;ph;;;"[('she', 'PRP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'JJ'), ('she', 'PRP'), ('is', 'VBZ'), (')', ')')]";"['she', ""'s"", '(', '=', 'she', 'is', ')']";None
225;he's (= he is);er ist;aktiv;1/B8;I;ph;;;"[('he', 'PRP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), (')', ')')]";"['he', ""'s"", '(', '=', 'he', 'is', ')']";['160']
226;she's (= she is);sie ist;aktiv;1/B8;I;ph;;;"[('she', 'PRP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'JJ'), ('she', 'PRP'), ('is', 'VBZ'), (')', ')')]";"['she', ""'s"", '(', '=', 'she', 'is', ')']";None
227;they're (= they are);sie sind;aktiv;1/B8;I;ph;;;"[('they', 'PRP'), (""'re"", 'VBP'), ('(', '('), ('=', 'IN'), ('they', 'PRP'), ('are', 'VBP'), (')', ')')]";"['they', ""'re"", '(', '=', 'they', 'are', ')']";['163']
228;aren't (= are not);bist nicht, seid nicht, sind nicht;aktiv;1/B8;I;ph;;;"[('are', 'VBP'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('are', 'VBP'), ('not', 'RB'), (')', ')')]";"['are', ""n't"", '(', '=', 'are', 'not', ')']";None
229;he;er;aktiv;1/B8;I;p;;;[('he', 'PRP')];['he'];['160', '162']
230;she;sie;aktiv;1/B8;I;p;;;[('she', 'PRP')];['she'];['165']
231;it;es, er/sie/es;aktiv;1/B8;I;p;;;[('it', 'PRP')];['it'];['110', '145', '159']
232;they;sie;aktiv;1/B8;I;p;;;[('they', 'PRP')];['they'];['161', '163', '185', '186']
233;about;über;passiv;1/B9;I;pr;;;[('about', 'IN')];['about'];['113', '174']
234;answer;Antwort;aktiv;1/B9;I;s;*answer* <> *question*;;[('answer', 'NN')];['answer'];None
235;question;Frage;aktiv;1/B9;I;s;;;[('question', 'NN')];['question'];None
236;lesson;(Unterrichts)stunde;aktiv;1/B9;I;s;;;[('lesson', 'NN')];['lesson'];None
237;then;dann, danach, darauf;aktiv;1/B10;I;av;;;[('then', 'RB')];['then'];None
238;to ask;fragen;aktiv;1/B10;I;v;Can I *ask* a question?;;[('to', 'TO'), ('ask', 'VB')];['to', 'ask'];None
239;tall;groß, hoch (gewachsen);passiv;1/B10;I;a;;;[('tall', 'NN')];['tall'];None
240;why;warum;aktiv;1/B11;I;av;;;[('why', 'WRB')];['why'];None
241;Indian;Inder/in, indisch;passiv;1/B11;I;s/a;;;[('Indian', 'JJ')];['Indian'];None
242;mum (informal);Mama, Mutti;aktiv;1/B11;I;s;*mum* = mother;;[('mum', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')')];['mum', '(', 'informal', ')'];None
243;Mum (informal);Mama, Mutti;aktiv;1/B11;I;s;;;[('Mum', 'NNP'), ('(', '('), ('informal', 'JJ'), (')', ')')];['Mum', '(', 'informal', ')'];None
244;father;Vater;aktiv;1/B11;I;s;;;[('father', 'NN')];['father'];None
245;to speak;sprechen;aktiv;1/B11;I;irr;George's parents *speak* Greek.;;[('to', 'TO'), ('speak', 'VB')];['to', 'speak'];None
246;Greek;Grieche/Griechin, griechisch;passiv;1/B11;I;s/a;;;[('Greek', 'JJ')];['Greek'];None
247;but;aber;aktiv;1/B11;I;k;;;[('but', 'CC')];['but'];None
248;parents (pl);Eltern;aktiv;1/B11;I;s;;;[('parents', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['parent', '(', 'pl', ')'];None
249;Hindi (no pl);Hindi (Amtssprache in Indien);passiv;1/B11;I;s;;;[('Hindi', 'NNP'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['Hindi', '(', 'no', 'pl', ')'];None
250;at home;zu Hause;passiv;1/B11;I;ph;;;[('at', 'IN'), ('home', 'NN')];['at', 'home'];None
251;shop;Geschäft, Laden;aktiv;1/B11;I;s;*shop*;ID1389847;[('shop', 'NN')];['shop'];None
252;silly;albern, dumm;aktiv;1/B11;I;a;;;[('silly', 'RB')];['silly'];None
253;sometimes;manchmal;aktiv;1/B11;I;av;;;[('sometimes', 'RB')];['sometimes'];None
254;other;andere(r, s);passiv;1/B11;I;a;;;[('other', 'JJ')];['other'];None
255;people (no pl);Leute, Menschen;aktiv;1/B11;I;s;;;[('people', 'NNS'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['people', '(', 'no', 'pl', ')'];None
256;family;Familie;aktiv;1/B11;I;s;;;[('family', 'NN')];['family'];None
257;grandparents (pl);Großeltern;aktiv;1/B11;I;s;;;[('grandparents', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['grandparent', '(', 'pl', ')'];None
258;aunt;Tante;aktiv;1/B11;I;s;;;[('aunt', 'NN')];['aunt'];None
259;uncle;Onkel;aktiv;1/B11;I;s;;;[('uncle', 'NN')];['uncle'];None
260;break;Pause;passiv;1/B11;I;s;;;[('break', 'NN')];['break'];None
261;break's over;die Pause ist vorbei;passiv;1/B11;I;ph;;;"[('break', 'NN'), (""'s"", 'POS'), ('over', 'IN')]";"['break', ""'s"", 'over']";None
262;grandmother;Großmutter;aktiv;1/B11;I;s;;;[('grandmother', 'NN')];['grandmother'];None
263;grandfather;Großvater;aktiv;1/B11;I;s;;;[('grandfather', 'NN')];['grandfather'];None
264;them;sie, ihnen;aktiv;1/B11;I;p;;;[('them', 'PRP')];['them'];None
265;mother;Mutter;aktiv;1/B11;I;s;;;[('mother', 'NN')];['mother'];None
266;son;Sohn;aktiv;1/B11;I;s;;;[('son', 'NN')];['son'];None
267;daughter;Tochter;aktiv;1/B11;I;s;;;[('daughter', 'NN')];['daughter'];None
268;cousin;Cousin, Cousine;aktiv;1/B11;I;s;;;[('cousin', 'NN')];['cousin'];None
269;husband;(Ehe)mann;aktiv;1/B11;I;s;;;[('husband', 'NN')];['husband'];None
270;wife;(Ehe)frau;aktiv;1/B11;I;s;;;[('wife', 'NN')];['wife'];None
271;more;(noch) mehr, weitere(r, s);aktiv;1/B12;I;p;;;[('more', 'RBR')];['more'];None
272;your;dein(e), euer/eure, Ihr(e);aktiv;1/B13;I;d;;;[('your', 'PRP$')];['your'];None
273;our;unser(e);aktiv;1/B13;I;d;;;[('our', 'PRP$')];['our'];None
274;their;ihr(e);aktiv;1/B13;I;d;;;[('their', 'PRP$')];['their'];None
275;to have;haben;aktiv;1/B13;I;irr;;;[('to', 'TO'), ('have', 'VB')];['to', 'have'];None
276;house;Haus;aktiv;1/B13;I;s;*house*;ID1389835;[('house', 'NN')];['house'];None
277;its;sein(e), ihr(e);aktiv;1/B13;I;d;;;[('its', 'PRP$')];['it'];None
278;German;Deutsche/r, deutsch;aktiv;1/B14;I;s/a;;;[('German', 'JJ')];['German'];None
279;library;Bibliothek, Bücherei;aktiv;1/C1;I;s;*library*;ID1389839 (Illu CTG 1, S. 165);[('library', 'NN')];['library'];None
280;gym;Turnhalle;aktiv;1/C1;I;s;;;[('gym', 'NN')];['gym'];None
281;sports ground;Sportplatz;aktiv;1/C1;I;s;;;[('sports', 'NNS'), ('ground', 'NN')];['sport', 'ground'];None
282;IT room;Computerraum;passiv;1/C1;I;s;;;[('IT', 'NNP'), ('room', 'NN')];['IT', 'room'];None
283;assembly hall;(Versammlungs)saal, Aula;passiv;1/C1;I;s;;;[('assembly', 'RB'), ('hall', 'NN')];['assembly', 'hall'];None
284;science lab(oratory);wissenschaftliches Labor;passiv;1/C1;I;s;;;[('science', 'NN'), ('lab', 'NN'), ('(', '('), ('oratory', 'NN'), (')', ')')];['science', 'lab', '(', 'oratory', ')'];None
285;classroom;Klassenzimmer;aktiv;1/C2;I;s;*classroom*;ID1389828;[('classroom', 'NN')];['classroom'];None
286;to talk (to);sprechen, reden (mit);aktiv;1/C2;I;v;Can I *talk to* Sarah?;;[('to', 'TO'), ('talk', 'VB'), ('(', '('), ('to', 'TO'), (')', ')')];['to', 'talk', '(', 'to', ')'];['195', '213']
287;to come;kommen;aktiv;1/C2;I;irr;You can *come* to my party.;;[('to', 'TO'), ('come', 'VB')];['to', 'come'];['199']
288;to feel;(sich) fühlen;passiv;1/C2;I;irr;;;[('to', 'TO'), ('feel', 'VB')];['to', 'feel'];None
289;bored;gelangweilt;passiv;1/C2;I;a;;;[('bored', 'VBN')];['bored'];None
290;me;mir, mich;aktiv;1/C2;I;p;;;[('me', 'PRP')];['me'];['203', '225']
291;to live;leben, hier: wohnen;aktiv;1/C2;I;v;;;[('to', 'TO'), ('live', 'VB')];['to', 'live'];['205']
292;to go;gehen, fahren;aktiv;1/C2;I;irr;Let's *go* to school together.;;[('to', 'TO'), ('go', 'VB')];['to', 'go'];['206']
293;together;zusammen;aktiv;1/C2;I;av;;;[('together', 'RB')];['together'];['206']
294;to do;machen, tun;aktiv;1/C2;I;irr;;;[('to', 'TO'), ('do', 'VB')];['to', 'do'];None
295;to have lunch;zu Mittag essen;aktiv;1/C2;I;ph;;;[('to', 'TO'), ('have', 'VB'), ('lunch', 'NN')];['to', 'have', 'lunch'];None
296;lunch;Mittagessen;aktiv;1/C2;I;s;;;[('lunch', 'NN')];['lunch'];None
297;to make;machen, erstellen;aktiv;1/C3;I;irr;Can you *make* a pizza? - Yes, I can.;;[('to', 'TO'), ('make', 'VB')];['to', 'make'];None
298;Turkish;"Türkisch; türkisch";passiv;1/C3;I;s/a;;;[('Turkish', 'VB')];['Turkish'];None
299;timetable;Stundenplan;aktiv;1/C4;I;s;;;[('timetable', 'NN')];['timetable'];['213']
300;subject;(Schul)fach;aktiv;1/C4;I;s;;;[('subject', 'NN')];['subject'];['217']
301;dialogue;Gespräch, Dialog;aktiv;1/C4;I;s;;;[('dialogue', 'NN')];['dialogue'];None
302;to love;lieben, sehr mögen;aktiv;1/C4;I;v;;;[('to', 'TO'), ('love', 'VB')];['to', 'love'];['214']
303;music;Musik (als Schulfach);aktiv;1/C4;I;s;;;[('music', 'NN')];['music'];['214']
304;science;(Natur)wissenschaft;aktiv;1/C4;I;s;;;[('science', 'NN')];['science'];None
305;geography;Erdkunde, Geografie;aktiv;1/C4;I;s;;;[('geography', 'NN')];['geography'];None
306;today;heute;aktiv;1/C4;I;av;;;[('today', 'NN')];['today'];None
307;history;Geschichte (als Schulfach);aktiv;1/C4;I;s;;;[('history', 'NN')];['history'];['232']
308;RE (= religious education);Religionslehre;aktiv;1/C4;I;s;;;[('RE', 'NNP'), ('(', '('), ('=', 'NNP'), ('religious', 'JJ'), ('education', 'NN'), (')', ')')];['RE', '(', '=', 'religious', 'education', ')'];None
309;art;Kunst(unterricht);aktiv;1/C4;I;s;;;[('art', 'NN')];['art'];['218']
310;to hate;hassen, verabscheuen;aktiv;1/C4;I;v;to *hate* <> to love;;[('to', 'TO'), ('hate', 'VB')];['to', 'hate'];['218']
311;French;Französisch;aktiv;1/C4;I;s;;;[('French', 'JJ')];['French'];['220', '228']
312;IT (no pl) (= information technology);Informationstechnologie;aktiv;1/C4;I;s;;;[('IT', 'NNP'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')'), ('(', '('), ('=', 'JJ'), ('information', 'NN'), ('technology', 'NN'), (')', ')')];['IT', '(', 'no', 'pl', ')', '(', '=', 'information', 'technology', ')'];None
313;PE (= physical education);Sport (als Schulfach);aktiv;1/C4;I;s;;;[('PE', 'NNP'), ('(', '('), ('=', 'NNP'), ('physical', 'JJ'), ('education', 'NN'), (')', ')')];['PE', '(', '=', 'physical', 'education', ')'];['221']
314;please;bitte;aktiv;1/C4;I;i;;;[('please', 'NN')];['please'];['222']
315;to look;aussehen;aktiv;1/C4;I;v;Your room *looks* great!;;[('to', 'TO'), ('look', 'VB')];['to', 'look'];None
316;puzzle;Rätsel, Fragespiel;passiv;1/C4;I;s;;;[('puzzle', 'NN')];['puzzle'];None
317;Tuesday;Dienstag;aktiv;1/C4;I;s;;;[('Tuesday', 'NNP')];['Tuesday'];None
318;Wednesday;Mittwoch;aktiv;1/C4;I;s;;;[('Wednesday', 'NNP')];['Wednesday'];None
319;technology;Technologie, Technik;aktiv;1/C4;I;s;;;[('technology', 'NN')];['technology'];None
320;Thursday;Donnerstag;aktiv;1/C4;I;s;;;[('Thursday', 'NNP')];['Thursday'];None
321;Friday;Freitag;aktiv;1/C4;I;s;;;[('Friday', 'NNP')];['Friday'];None
322;German;Deutsch(unterricht);aktiv;1/C4;I;s;;;[('German', 'JJ')];['German'];None
323;Saturday;Samstag;aktiv;1/C4;I;s;;;[('Saturday', 'NNP')];['Saturday'];None
324;Sunday;Sonntag;aktiv;1/C4;I;s;;;[('Sunday', 'NNP')];['Sunday'];None
325;week;Woche;aktiv;1/C4;I;s;;;[('week', 'NN')];['week'];None
326;to clean;sauber machen, reinigen, putzen;aktiv;1/C7;I;v;Please *clean* the board.;;[('to', 'TO'), ('clean', 'VB')];['to', 'clean'];['222']
327;board;Brett, Tafel;aktiv;1/C7;I;s;;;[('board', 'NN')];['board'];['222', '230']
328;to give;geben;aktiv;1/C7;I;irr;I can *give* you a pen.;;[('to', 'TO'), ('give', 'VB')];['to', 'give'];None
329;to sit down;sich (hin)setzen;aktiv;1/C7;I;irr;;;[('to', 'TO'), ('sit', 'VB'), ('down', 'RP')];['to', 'sit', 'down'];None
330;to help;helfen;aktiv;1/C7;I;v;Can I *help*?;;[('to', 'TO'), ('help', 'VB')];['to', 'help'];None
331;to open;öffnen;aktiv;1/C7;I;v;Can I *open* the window, please?;;[('to', 'TO'), ('open', 'VB')];['to', 'open'];None
332;window;Fenster;aktiv;1/C7;I;s;;;[('window', 'NN')];['window'];None
333;cold;kalt;aktiv;1/C7;I;a;;;[('cold', 'NN')];['cold'];['235']
334;quiet;leise, ruhig;aktiv;1/C7;I;a;;ID1389845;[('quiet', 'JJ')];['quiet'];['233']
335;to put;setzen, legen, stellen;aktiv;1/C7;I;irr;;;[('to', 'TO'), ('put', 'VB')];['to', 'put'];None
336;phrase;Satz, Ausdruck;passiv;1/C8;I;s;;;[('phrase', 'NN')];['phrase'];None
337;her;ihr, sie;passiv;1/C8;I;p;;;[('her', 'PRP$')];['her'];None
338;rule;Regel;aktiv;1/C9;I;s;;;[('rule', 'NN')];['rule'];None
339;teacher;Lehrer/in;aktiv;1/C9;I;s;;;[('teacher', 'NN')];['teacher'];None
340;homework (no pl);Hausaufgabe(n);aktiv;1/C9;I;s;Don't do your *homework* in class.;;[('homework', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['homework', '(', 'no', 'pl', ')'];None
341;activity;Aktivität, Tätigkeit;aktiv;1/C11;I;s;;;[('activity', 'NN')];['activity'];None
342;pupil;Schüler/in;aktiv;1/C11;I;s;#links# *pupils*;ID1389849;[('pupil', 'NN')];['pupil'];None
343;to draw;zeichnen;aktiv;1/C11;I;irr;;;[('to', 'TO'), ('draw', 'VB')];['to', 'draw'];None
344;of;von;aktiv;1/C11;I;pr;a photo *of* Lisa;ID1389843;[('of', 'IN')];['of'];None
345;feedback;Feedback, Rückmeldung;passiv;1/C11;I;s;;;[('feedback', 'NN')];['feedback'];None
346;at home;zu Hause;aktiv;2/A;I;ph;;;[('at', 'IN'), ('home', 'NN')];['at', 'home'];None
347;time;Zeit, Uhrzeit;aktiv;2/A1;I;s;;;[('time', 'NN')];['time'];['243', '246']
348;to sing;singen;aktiv;2/A1;I;irr;;;[('to', 'TO'), ('sing', 'VB')];['to', 'sing'];['243', '246']
349;clock;Uhr;aktiv;2/A1;I;s;;;[('clock', 'NN')];['clock'];['243', '246']
350;whatever;was auch immer, egal was;passiv;2/A1;I;p;;;[('whatever', 'WDT')];['whatever'];['244', '247']
351;to stop;aufhören, beenden;aktiv;2/A1;I;v;;ID1389844;[('to', 'TO'), ('stop', 'VB')];['to', 'stop'];['244', '247']
352;half;halb, hier: dreißig Minuten;aktiv;2/A1;I;av;;;[('half', 'NN')];['half'];None
353;past;nach;aktiv;2/A1;I;pr;;;[('past', 'NN')];['past'];['248']
354;am (= ante meridiem);morgens, vormittags (nur hinter Uhrzeit zwischen Mitternacht und 12 Uhr mittags);aktiv;2/A1;I;av;;;[('am', 'VBP'), ('(', '('), ('=', 'JJ'), ('ante', 'RB'), ('meridiem', 'NN'), (')', ')')];['am', '(', '=', 'ante', 'meridiem', ')'];None
355;pm (= post meridiem);nachmittags, abends (nur hinter Uhrzeit zwischen 12 Uhr mittags und Mitternacht);aktiv;2/A1;I;av;;;[('pm', 'NN'), ('(', '('), ('=', 'JJ'), ('post', 'NN'), ('meridiem', 'NN'), (')', ')')];['pm', '(', '=', 'post', 'meridiem', ')'];None
356;half past (seven);halb (acht);aktiv;2/A1;I;ph;;;[('half', 'NN'), ('past', 'NN'), ('(', '('), ('seven', 'CD'), (')', ')')];['half', 'past', '(', 'seven', ')'];None
357;to get up;aufstehen;aktiv;2/A1;I;irr;I *get up* at half past seven.;;[('to', 'TO'), ('get', 'VB'), ('up', 'RP')];['to', 'get', 'up'];None
358;to get dressed;sich anziehen;aktiv;2/A1;I;ph;I *get dressed* at seven o'clock.;;[('to', 'TO'), ('get', 'VB'), ('dressed', 'JJ')];['to', 'get', 'dressed'];None
359;best;am besten;passiv;2/A1;I;av;;;[('best', 'JJS')];['best'];None
360;at;auf, an, in, bei, hier: um;aktiv;2/A1;I;pr;*At* seven o'clock I watch TV.;;[('at', 'IN')];['at'];None
361;to take;(mit)nehmen;aktiv;2/A1;I;irr;I *take* the bus at eight o’clock. / I *take* a lot of books to school.;;[('to', 'TO'), ('take', 'VB')];['to', 'take'];None
362;to meet;(sich) treffen;aktiv;2/A1;I;irr;I *meet* my friends at school.;;[('to', 'TO'), ('meet', 'VB')];['to', 'meet'];None
363;to eat;essen, fressen;aktiv;2/A1;I;irr;Can you *eat* five hamburgers?;;[('to', 'TO'), ('eat', 'VB')];['to', 'eat'];['245']
364;to talk (about);sprechen (über), reden (über);aktiv;2/A1;I;v;When is your test? - I don't want to *talk about* it.;;[('to', 'TO'), ('talk', 'VB'), ('(', '('), ('about', 'IN'), (')', ')')];['to', 'talk', '(', 'about', ')'];['245']
365;to be fun;Spaß machen;aktiv;2/A1;I;ph;Reading *is fun*!;;[('to', 'TO'), ('be', 'VB'), ('fun', 'NN')];['to', 'be', 'fun'];None
366;to;in, nach, zu, an, hier: vor;aktiv;2/A1;I;pr;;;[('to', 'TO')];['to'];['243', '246']
367;quarter (past/to);Viertel (nach/vor);aktiv;2/A1;I;s;;;[('quarter', 'NN'), ('(', '('), ('past/to', 'NN'), (')', ')')];['quarter', '(', 'past/to', ')'];None
368;tea;Tee;passiv;2/A1;I;s;;;[('tea', 'NN')];['tea'];None
369;to watch TV;fernsehen;aktiv;2/A1;I;ph;Let's *watch TV*. There is a great film about cats.;;[('to', 'TO'), ('watch', 'VB'), ('TV', 'NN')];['to', 'watch', 'TV'];None
370;to chat (to sb);(mit jdm) plaudern, chatten;passiv;2/A1;I;v;;;[('to', 'TO'), ('chat', 'VB'), ('(', '('), ('to', 'TO'), ('sb', 'VB'), (')', ')')];['to', 'chat', '(', 'to', 'sb', ')'];None
371;never;nie(mals);aktiv;2/A1;I;av;I *never* play football. I don't like it.;;[('never', 'RB')];['never'];None
372;to end;beenden, zu Ende bringen, hier: enden;passiv;2/A1;I;v;;;[('to', 'TO'), ('end', 'VB')];['to', 'end'];None
373;night;Nacht, Abend;aktiv;2/A1;I;s;*night* <> day;;[('night', 'NN')];['night'];None
374;verse;Strophe;passiv;2/A1;I;s;;;[('verse', 'NN')];['verse'];None
375;to go with;zu … gehören, zu … passen;passiv;2/A1;I;ph;;;[('to', 'TO'), ('go', 'VB'), ('with', 'IN')];['to', 'go', 'with'];None
376;(one) o'clock;(ein) Uhr;aktiv;2/A1;I;av;;;"[('(', '('), ('one', 'CD'), (')', ')'), (""o'clock"", 'NN')]";"['(', 'one', ')', ""o'clock""]";None
377;fun (no pl);Spaß;aktiv;2/A1;I;s;;;[('fun', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['fun', '(', 'no', 'pl', ')'];['245']
378;hour;Stunde;aktiv;2/A2;I;s;one *hour* = 60 minutes;;[('hour', 'NN')];['hour'];None
379;minute;Minute;aktiv;2/A2;I;s;;;[('minute', 'NN')];['minute'];None
380;quarter of an hour;Viertelstunde;aktiv;2/A2;I;ph;a *quarter of an hour* = 15 minutes;;[('quarter', 'NN'), ('of', 'IN'), ('an', 'DT'), ('hour', 'NN')];['quarter', 'of', 'an', 'hour'];None
381;half;halb;passiv;2/A2;I;av;;;[('half', 'NN')];['half'];None
382;half an hour;eine halbe Stunde;aktiv;2/A2;I;ph;*half an hour* = 30 minutes;;[('half', 'PDT'), ('an', 'DT'), ('hour', 'NN')];['half', 'an', 'hour'];None
383;to mean;bedeuten, meinen;aktiv;2/A2;I;irr;A quarter of an hour *means* 15 minutes.;;[('to', 'TO'), ('mean', 'VB')];['to', 'mean'];None
384;to think of;denken an, sich ausdenken;aktiv;2/A3;I;irr;Can you *think of* a plan?;;[('to', 'TO'), ('think', 'VB'), ('of', 'IN')];['to', 'think', 'of'];None
385;to think;denken, glauben, meinen;aktiv;2/A3;I;irr;I *think* it's ten to eight.;;[('to', 'TO'), ('think', 'VB')];['to', 'think'];None
386;to work;arbeiten;passiv;2/A3;I;v;;;[('to', 'TO'), ('work', 'VB')];['to', 'work'];None
387;in the morning;am Morgen;aktiv;2/A4;I;ph;;;[('in', 'IN'), ('the', 'DT'), ('morning', 'NN')];['in', 'the', 'morning'];None
388;morning;Morgen;aktiv;2/A4;I;s;;;[('morning', 'NN')];['morning'];None
389;to have breakfast;frühstücken;aktiv;2/A4;I;ph;I *have breakfast* at 7 o'clock *in the morning*.;;[('to', 'TO'), ('have', 'VB'), ('breakfast', 'NN')];['to', 'have', 'breakfast'];None
390;breakfast;Frühstück;aktiv;2/A4;I;s;;;[('breakfast', 'NN')];['breakfast'];None
391;in the afternoon;am Nachmittag;aktiv;2/A4;I;ph;;;[('in', 'IN'), ('the', 'DT'), ('afternoon', 'NN')];['in', 'the', 'afternoon'];None
